name,volume,wall_thickness,manifold,positive_volume,no_intersections,thick_walls
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Bathtub_U-Boat/Conning_Tower.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Bathtub_U-Boat/U-Boat_1.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Bathtub_U-Boat/U-Boat_1_a.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Bathtub_U-Boat/U-Boat_2.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Bathtub_U-Boat/U-Boat_3.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Bathtub_U-Boat/U-Boat_4.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Bathtub_U-Boat/U-Boat_5.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Bathtub_U-Boat/U-Boat_6.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Bathtub_U-Boat/U-Boat_7.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/wind-up_Bathtub_Boat_V5_-_with_benchmark_test_-_Badewannen_Boot_zum_Aufziehen_-_Funktionsfähig/Grundplatte_PLA.stl,,0.18262320125231582,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/wind-up_Bathtub_Boat_V5_-_with_benchmark_test_-_Badewannen_Boot_zum_Aufziehen_-_Funktionsfähig/Benchmark-Spiral-Kegelrad_16t_PLA.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/wind-up_Bathtub_Boat_V5_-_with_benchmark_test_-_Badewannen_Boot_zum_Aufziehen_-_Funktionsfähig/easySchraube_PLA.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Bathtub/Bathtub_two_faucets.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Bathtub/Bathtub_one_faucet.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Bathtub/Bathtub_bottom_hole.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/accessories_for_Bathtub_U-Boat_by_Skimbal/U-Boat_0-Gun_Complete.stl,,,False,True,False,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Egg_-_Bathtub_beater/gear.stl,,0.047505801373741184,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Oceanic_Bathtub/Bathtub.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/COS_-__the_Container_Ship/cs_long_bottom.stl,,0.1555604554406493,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/ICE_-_the_icebreaker/ice_funnel.stl,,0.10047465242660374,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/LEO_the_little_fishing_boat_(visual_benchy)/leo_single.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Clamfoot_Bathtub/deepTub.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Floating_Bathtub_Nuclear_Submarine/Bathtub_Nuclear_Submarine.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/FIN_the_little_Trawler_(visual_benchy)/trawler_halter.stl,,0.19184601750923674,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Bathtub_Sieve/Bathtub_Sieve.stl,,,False,True,True,True
